"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.914622292097743,0.00447093097667965,204.570881739934,5.67064239655962e-146
"Geomorphology1",-0.0227555714362361,0.0106135228132424,-2.14401682048906,0.0341939448141817
"Geomorphology2",-0.00899277069406194,0.0145937761608282,-0.616205880846649,0.539009038286962
"Geomorphology3",-0.00864704642541136,0.0134326923502753,-0.643731442657072,0.521065596604625
"Geomorphology4",0.0218894800441127,0.0103753056721122,2.10976724309429,0.0371054381468645
"Geomorphology5",-0.00182773605605314,0.0099561297179997,-0.183578971731231,0.854675701088895
"nutrint",-0.00406473112647137,0.00541764254581834,-0.750276728686866,0.454661330238316
"NO_TK_AREA",0.0113432977262247,0.00536224985423584,2.11539895278551,0.0366124810978371
"transi15LR",0.00539686670191189,0.00458584865134994,1.17685233687841,0.241749502837251
"transi15BRbtw",-0.00525048924718053,0.00486085597534551,-1.08015733726966,0.282392642674545
"resid15LR",-0.00330612358476166,0.00520274475390644,-0.635457578863404,0.526426248617261
"resid15BRbtw",-0.0137482877513753,0.00786262945293489,-1.74856106772823,0.0831068226925676
"pare15BRbtw",-0.00414829670010592,0.00602573808683554,-0.688429639709817,0.492605760247723
